CME_num,Actual_TT,Seed_TT,ML_TT_mean,ML_TT_std,Seed_error,ML_error_mean,ML_error_std
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
08_2012-03-07,34.05,24.87,34.80,9.18,-0.75
08_2012-03-07,34.05,24.87,34.80,9.18,-0.75
08_2012-03-07,34.05,24.87,34.80,9.18,-0.75
08_2012-03-07,34.05,24.87,34.80,9.18,-0.75
08_2012-03-07,34.05,24.87,34.80,9.18,-0.75
08_2012-03-07,34.05,24.87,34.81,9.18,-0.76
08_2012-03-07,34.05,24.87,34.81,9.18,-0.76
08_2012-03-07,34.05,24.87,34.81,9.18,-0.76
08_2012-03-07,34.05,24.87,34.82,9.18,-0.77
08_2012-03-07,34.05,24.87,34.82,9.18,-0.77
08_2012-03-07,34.05,24.87,34.82,9.18,-0.77
08_2012-03-07,34.05,24.87,34.82,9.18,-0.77
08_2012-03-07,34.05,24.87,34.83,9.18,-0.78
08_2012-03-07,34.05,24.87,34.83,9.18,-0.78
08_2012-03-07,34.05,24.87,34.83,9.18,-0.78
08_2012-03-07,34.05,24.87,34.83,9.18,-0.78
08_2012-03-07,34.05,24.87,34.83,9.18,-0.78
08_2012-03-07,34.05,24.87,34.83,9.18,-0.78
08_2012-03-07,34.05,24.87,34.83,9.18,-0.78
08_2012-03-07,34.05,24.87,34.83,9.18,-0.78
08_2012-03-07,34.05,24.87,34.83,9.18,-0.78
08_2012-03-07,34.05,24.87,34.83,9.18,-0.78
08_2012-03-07,34.05,24.87,34.83,9.18,-0.78
08_2012-03-07,34.05,24.87,34.83,9.18,-0.78
08_2012-03-07,34.05,24.87,34.83,9.18,-0.78
08_2012-03-07,34.05,24.87,34.82,9.18,-0.77
08_2012-03-07,34.05,24.87,34.82,9.18,-0.77
08_2012-03-07,34.05,24.87,34.82,9.18,-0.77
08_2012-03-07,34.05,24.87,34.82,9.18,-0.77
08_2012-03-07,34.05,24.87,34.81,9.18,-0.76
08_2012-03-07,34.05,24.87,34.81,9.18,-0.76
08_2012-03-07,34.05,24.87,34.81,9.18,-0.76
08_2012-03-07,34.05,24.87,34.81,9.18,-0.76
08_2012-03-07,34.05,24.87,34.81,9.18,-0.76
08_2012-03-07,34.05,24.87,34.81,9.18,-0.76
08_2012-03-07,34.05,24.87,34.80,9.18,-0.75
08_2012-03-07,34.05,24.87,34.80,9.18,-0.75
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
08_2012-03-07,34.05,24.87,34.79,9.18,-0.74
08_2012-03-07,34.05,24.87,34.78,9.18,-0.73
08_2012-03-07,34.05,24.87,34.78,9.18,-0.73
08_2012-03-07,34.05,24.87,34.78,9.18,-0.73
08_2012-03-07,34.05,24.87,34.77,9.18,-0.72
08_2012-03-07,34.05,24.87,34.77,9.18,-0.72
08_2012-03-07,34.05,24.87,34.76,9.18,-0.71
08_2012-03-07,34.05,24.87,34.76,9.18,-0.71
08_2012-03-07,34.05,24.87,34.75,9.18,-0.70
08_2012-03-07,34.05,24.87,34.75,9.18,-0.70
08_2012-03-07,34.05,24.87,34.75,9.18,-0.70
08_2012-03-07,34.05,24.87,34.74,9.18,-0.69
08_2012-03-07,34.05,24.87,34.74,9.18,-0.69
08_2012-03-07,34.05,24.87,34.73,9.18,-0.68
08_2012-03-07,34.05,24.87,34.73,9.18,-0.68
08_2012-03-07,34.05,24.87,34.72,9.18,-0.67
08_2012-03-07,34.05,24.87,34.72,9.18,-0.67
08_2012-03-07,34.05,24.87,34.72,9.18,-0.67
08_2012-03-07,34.05,24.87,34.71,9.18,-0.66
08_2012-03-07,34.05,24.87,34.71,9.18,-0.66
08_2012-03-07,34.05,24.87,34.71,9.18,-0.66
08_2012-03-07,34.05,24.87,34.70,9.18,-0.65
08_2012-03-07,34.05,24.87,34.70,9.18,-0.65
08_2012-03-07,34.05,24.87,34.69,9.18,-0.64
08_2012-03-07,34.05,24.87,34.69,9.18,-0.64
08_2012-03-07,34.05,24.87,34.69,9.18,-0.64
08_2012-03-07,34.05,24.87,34.68,9.18,-0.63
08_2012-03-07,34.05,24.87,34.68,9.18,-0.63
08_2012-03-07,34.05,24.87,34.67,9.18,-0.62
08_2012-03-07,34.05,24.87,34.67,9.18,-0.62
08_2012-03-07,34.05,24.87,34.66,9.18,-0.61
08_2012-03-07,34.05,24.87,34.66,9.18,-0.61
08_2012-03-07,34.05,24.87,34.65,9.18,-0.60
08_2012-03-07,34.05,24.87,34.65,9.18,-0.60
08_2012-03-07,34.05,24.87,34.64,9.18,-0.59
08_2012-03-07,34.05,24.87,34.64,9.18,-0.59
08_2012-03-07,34.05,24.87,34.63,9.18,-0.58
08_2012-03-07,34.05,24.87,34.63,9.18,-0.58
08_2012-03-07,34.05,24.87,34.62,9.18,-0.57
08_2012-03-07,34.05,24.87,34.62,9.18,-0.57
08_2012-03-07,34.05,24.87,34.61,9.18,-0.56
08_2012-03-07,34.05,24.87,34.61,9.18,-0.56
08_2012-03-07,34.05,24.87,34.60,9.18,-0.55
08_2012-03-07,34.05,24.87,34.59,9.18,-0.54
08_2012-03-07,34.05,24.87,34.59,9.18,-0.54
08_2012-03-07,34.05,24.87,34.58,9.18,-0.53
08_2012-03-07,34.05,24.87,34.58,9.18,-0.53
08_2012-03-07,34.05,24.87,34.57,9.18,-0.52
08_2012-03-07,34.05,24.87,34.56,9.18,-0.51
08_2012-03-07,34.05,24.87,34.56,9.18,-0.51
08_2012-03-07,34.05,24.87,34.55,9.18,-0.50
08_2012-03-07,34.05,24.87,34.54,9.18,-0.49
08_2012-03-07,34.05,24.87,34.54,9.18,-0.49
08_2012-03-07,34.05,24.87,34.53,9.18,-0.48
08_2012-03-07,34.05,24.87,34.52,9.18,-0.47
08_2012-03-07,34.05,24.87,34.52,9.18,-0.47
08_2012-03-07,34.05,24.87,34.51,9.18,-0.46
08_2012-03-07,34.05,24.87,34.50,9.18,-0.45
08_2012-03-07,34.05,24.87,34.50,9.18,-0.45
08_2012-03-07,34.05,24.87,34.49,9.18,-0.44
08_2012-03-07,34.05,24.87,34.48,9.18,-0.43
08_2012-03-07,34.05,24.87,34.48,9.18,-0.43
08_2012-03-07,34.05,24.87,34.47,9.18,-0.42
08_2012-03-07,34.05,24.87,34.46,9.18,-0.41
08_2012-03-07,34.05,24.87,34.46,9.18,-0.41
08_2012-03-07,34.05,24.87,34.45,9.18,-0.40
08_2012-03-07,34.05,24.87,34.44,9.18,-0.39
08_2012-03-07,34.05,24.87,34.44,9.18,-0.39
08_2012-03-07,34.05,24.87,34.43,9.18,-0.38
08_2012-03-07,34.05,24.87,34.43,9.18,-0.38
08_2012-03-07,34.05,24.87,34.42,9.18,-0.37
08_2012-03-07,34.05,24.87,34.41,9.18,-0.36
08_2012-03-07,34.05,24.87,34.41,9.18,-0.36
08_2012-03-07,34.05,24.87,34.40,9.18,-0.35
08_2012-03-07,34.05,24.87,34.40,9.18,-0.35
08_2012-03-07,34.05,24.87,34.39,9.18,-0.34
08_2012-03-07,34.05,24.87,34.38,9.18,-0.33
08_2012-03-07,34.05,24.87,34.38,9.18,-0.33
08_2012-03-07,34.05,24.87,34.37,9.18,-0.32
08_2012-03-07,34.05,24.87,34.36,9.18,-0.31
08_2012-03-07,34.05,24.87,34.35,9.18,-0.30
08_2012-03-07,34.05,24.87,34.35,9.18,-0.30
08_2012-03-07,34.05,24.87,34.34,9.18,-0.29
08_2012-03-07,34.05,24.87,34.33,9.18,-0.28
08_2012-03-07,34.05,24.87,34.32,9.18,-0.27
08_2012-03-07,34.05,24.87,34.32,9.18,-0.27
08_2012-03-07,34.05,24.87,34.31,9.18,-0.26
08_2012-03-07,34.05,24.87,34.30,9.18,-0.25
08_2012-03-07,34.05,24.87,34.30,9.18,-0.25
08_2012-03-07,34.05,24.87,34.29,9.18,-0.24
08_2012-03-07,34.05,24.87,34.28,9.18,-0.23
08_2012-03-07,34.05,24.87,34.27,9.18,-0.22
08_2012-03-07,34.05,24.87,34.27,9.18,-0.22
08_2012-03-07,34.05,24.87,34.26,9.18,-0.21
08_2012-03-07,34.05,24.87,34.25,9.18,-0.20
08_2012-03-07,34.05,24.87,34.25,9.18,-0.20
08_2012-03-07,34.05,24.87,34.24,9.18,-0.19
08_2012-03-07,34.05,24.87,34.23,9.18,-0.18
08_2012-03-07,34.05,24.87,34.23,9.18,-0.18
08_2012-03-07,34.05,24.87,34.22,9.18,-0.17
08_2012-03-07,34.05,24.87,34.21,9.18,-0.16
08_2012-03-07,34.05,24.87,34.21,9.18,-0.16
08_2012-03-07,34.05,24.87,34.20,9.18,-0.15
08_2012-03-07,34.05,24.87,34.20,9.18,-0.15
08_2012-03-07,34.05,24.87,34.19,9.18,-0.14
08_2012-03-07,34.05,24.87,34.18,9.18,-0.13
08_2012-03-07,34.05,24.87,34.18,9.18,-0.13
08_2012-03-07,34.05,24.87,34.17,9.18,-0.12
08_2012-03-07,34.05,24.87,34.16,9.18,-0.11
08_2012-03-07,34.05,24.87,34.16,9.18,-0.11
08_2012-03-07,34.05,24.87,34.15,9.18,-0.10
08_2012-03-07,34.05,24.87,34.14,9.18,-0.09
08_2012-03-07,34.05,24.87,34.14,9.18,-0.09
08_2012-03-07,34.05,24.87,34.13,9.18,-0.08
08_2012-03-07,34.05,24.87,34.12,9.18,-0.07
08_2012-03-07,34.05,24.87,34.13,9.18,-0.08
08_2012-03-07,34.05,24.87,34.13,9.18,-0.08
08_2012-03-07,34.05,24.87,34.13,9.18,-0.08
08_2012-03-07,34.05,24.87,34.14,9.18,-0.09
08_2012-03-07,34.05,24.87,34.14,9.18,-0.09
08_2012-03-07,34.05,24.87,34.14,9.18,-0.09
08_2012-03-07,34.05,24.87,34.15,9.18,-0.10
08_2012-03-07,34.05,24.87,34.15,9.18,-0.10
08_2012-03-07,34.05,24.87,34.15,9.18,-0.10
08_2012-03-07,34.05,24.87,34.15,9.18,-0.10
08_2012-03-07,34.05,24.87,34.16,9.18,-0.11
08_2012-03-07,34.05,24.87,34.16,9.18,-0.11
08_2012-03-07,34.05,24.87,34.16,9.18,-0.11
08_2012-03-07,34.05,24.87,34.16,9.18,-0.11
08_2012-03-07,34.05,24.87,34.17,9.18,-0.12
08_2012-03-07,34.05,24.87,34.17,9.18,-0.12
08_2012-03-07,34.05,24.87,34.17,9.18,-0.12
08_2012-03-07,34.05,24.87,34.17,9.18,-0.12
